isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	show	updated_date
9787508634432	11527058	NA	先生	NA	NA	《先生》编写组	中信出版社	2012-8	286	2018-07-09	NA	NA	8.2	NA	1	1	2020-01-24
9787550231887	26394808	NA	图解《说文解字》·画说汉字	1000个汉字的故事	NA	[东汉] 许慎	北京联合出版公司	2014-7-1	510	2018-06-02	NA	NA	6.7	NA	1	1	2020-01-24
9787514604399	11524077	NA	希腊神话故事	NA	NA	[瑞士] 施瓦布	NA	2012-7	256	2018-06-02	NA	NA	5.3	NA	1	1	2020-01-24
9787115249494	6021440	NA	黑客与画家	硅谷创业之父Paul Graham文集	Hackers and Painters: Big Ideas from the Computer Age	[美] 保罗·格雷厄姆	人民邮电出版社	2011-4	264	2018-06-02	2018-06-02	2018-06-21	8.7	8	1	1	2020-01-24
9787508684031	27608239	NA	原则	NA	Principles: Life and Work	[美] 瑞·达利欧	中信出版社	2018-1	576	2018-06-01	NA	NA	8.4	NA	1	1	2020-01-24
9787512714922	27149602	NA	乌合之众	NA	NA	[法] 古斯塔夫·勒庞	中国妇女出版社	2017-9-1	NA	2018-06-01	NA	NA	5.5	NA	1	1	2020-01-24
9787508678870	27078154	NA	搜神记	NA	NA	冯唐	中信出版集团	2017-8	224	2018-06-01	NA	NA	6.4	NA	1	1	2020-01-24
9787556117512	27109961	NA	瓦尔登湖	NA	Walden	[美]亨利·戴维·梭罗	湖南人民出版社	2017-8	364	2018-06-01	NA	NA	7.5	NA	1	1	2020-01-24
9787533949198	27074836	NA	人间词话	独家全译全注插图珍藏版	NA	王国维	浙江文艺出版社	2017-7	370	2018-06-01	NA	NA	8.9	NA	1	1	2020-01-24
9787533949419	27109152	NA	安阳	NA	NA	冯唐	浙江文艺出版社	2017-12-1	184	2018-06-01	NA	NA	6.2	NA	1	1	2020-01-24
9787559610782	27170538	NA	存在主义咖啡馆	自由、存在和杏子鸡尾酒	At the Existentialist Café：Freedom,Being,and Apricot Cocktails	[英] 莎拉·贝克韦尔	北京联合出版公司	2017-12-1	568	2018-06-01	NA	NA	8.6	NA	1	1	2020-01-24
9787508656663	26738797	NA	小说课（壹）	折磨读者的秘密	NA	许荣哲	中信出版社	2016-8	264	2018-06-01	NA	NA	7.7	NA	1	1	2020-01-24
9787508656618	26738798	NA	《小说课》（贰）	《偷故事的人》	NA	许荣哲	中信出版社	2016-8	232	2018-06-01	NA	NA	7.8	NA	1	1	2020-01-24
9787514352894	26910712	NA	山海经	（白话全译彩图珍藏版）	NA	徐客	现代出版社	2016-8	600	2018-06-01	NA	NA	7.9	NA	1	1	2020-01-24
9787115429476	26835090	NA	软技能	代码之外的生存指南	Soft Skills: The software developer's life manual	John Sonmez	人民邮电出版社	2016-7	480	2018-06-01	2018-10-09	2018-11-20	8	7	1	1	2020-01-24
9787213069475	26707803	NA	千面英雄	NA	THE HERO WITH A THOUSAND FACES	[美] 约瑟夫·坎贝尔	浙江人民出版社	2016-2	426	2018-06-01	NA	NA	8.2	NA	1	1	2020-01-24
9787508650104	26424608	NA	设计心理学2	与复杂共处 （修订版）	NA	[美] 唐纳德·A·诺曼	中信出版社	2015-6-5	237	2018-06-01	NA	NA	7.8	NA	1	1	2020-01-24
9787508650111	26424688	NA	设计心理学3	情感化设计（修订版）	NA	[美] 唐纳德·A·诺曼	中信出版社	2015-6	233	2018-06-01	NA	NA	7.8	NA	1	1	2020-01-24
9787508648330	26102860	NA	设计心理学1	日常的设计	NA	[美] 唐纳德·A·诺曼	中信出版社	2015-5-15	360	2018-06-01	NA	NA	8.5	NA	1	1	2020-01-24
9787548423768	30132617	NA	林徽因：不慌不忙的坚强（平装）	NA	NA	赵一	哈尔滨出版社	2015-12-1	384	2018-06-01	NA	NA	7.6	NA	1	1	2020-01-24
9787508654133	26647363	NA	设计心理学4	未来设计	The Design of Future Things	[美] 唐纳德·A·诺曼	中信出版社	2015-11	186	2018-06-01	NA	NA	7.6	NA	1	1	2020-01-24
9787535457042	11530610	NA	神曲	神曲	NA	[意] 但丁	NA	2012-6	415	2018-06-01	NA	NA	8.8	NA	1	1	2020-01-24
9787508616773	4012143	NA	伟大的博弈	华尔街金融帝国的崛起（1653-2011）	The Great Game: The Emergence of Wall Street as a World Power: 1653-2000	[美] 约翰·S·戈登	中信出版社	2011-1	400	2018-06-01	2018-06-22	NA	8.6	NA	1	1	2020-01-24
9787101127867	27112664	NA	论语译注	简体字本	NA	杨伯峻 译注	中华书局	2017-9-1	298	2018-02-23	NA	NA	8.7	NA	1	1	2020-01-24
9787533948108	27006467	NA	浮生六记	独家全译全注插图珍藏版	NA	沈复	浙江文艺出版社	2017-4	323	2018-02-23	NA	NA	8.1	NA	1	1	2020-01-24
9787101113990	26755624	NA	论自由	中英双语本	NA	[英]约翰·斯图亚特·密尔	中华书局	2016-1	290	2018-02-23	NA	NA	9.1	NA	1	1	2020-01-24
9787512017870	26363137	NA	曾国藩 • 曾文正公家书(上下，全1305封，附家训2卷)	NA	NA	曾国藩	线装书局	2015-5-1	851	2018-02-23	NA	NA	9.2	NA	1	1	2020-01-24
9787553415253	23155678	NA	1984	NA	NA	[英] 乔治·奥威尔	吉林出版集团有限责任公司	2013-5	274	2018-02-23	NA	NA	9.2	NA	1	1	2020-01-24
9787111447405	25805533	NA	中国航空故事	NA	NA	刘德生	机械工业出版社	2014-1-1	192	2017-11-15	2017-11-16	2017-11-16	NA	6	1	1	2020-01-24
9789862137192	26847432	NA	為了活下去：脫北女孩朴研美	脫北女孩朴研美	In Order to Live: A North Korean Girl’s Journey to Freedom	朴研美	大塊文化	2016-7	320	2017-09-28	2017-12-03	2017-12-31	8.1	9	1	1	2020-01-24
9789882194199	6732178	NA	不二	NA	NA	馮唐	天地圖書有限公司	NA	328	2017-08-28	NA	NA	NA	NA	0	1	2018-10-16
9787213048425	3155180	NA	荒野生存	NA	Into the WIld	乔恩·克拉考尔（Jon Krakauer）	中国人民大学出版社	2008-07	196	2017-07-31	NA	NA	8.7	NA	1	1	2020-01-24
9780385486804	1372067	NA	Into the Wild	NA	NA	Jon Krakauer	Anchor	1997-01-20	224	2017-07-30	NA	NA	8.9	NA	1	1	2020-01-24
9787020118083	26821460	NA	朱雀	NA	NA	葛亮	人民文学出版社	2016-10	380	2017-06-12	NA	NA	6.8	NA	1	1	2020-01-24
9789869316743	26956107	NA	一把青 創作劇本	NA	NA	原著白先勇 / 導演曹瑞原 / 劇本黃世鳴	水靈文創有限公司	2016-9	NA	2017-06-08	NA	NA	9.6	NA	1	1	2020-01-24
9787503194160	26878557	NA	孤独星球 Lonely Planet 西藏 IN系列（2016年版）	NA	NA	澳大利亚LonelyPlanet公司	中国地图出版社	2016-8-1	424	2017-06-01	NA	NA	8.4	NA	1	1	2020-01-24
9787535678096	26848051	NA	造房子	NA	NA	王澍	浦睿文化/湖南美术出版社	2016-8	276	2017-06-01	NA	NA	8.3	NA	1	1	2020-01-24
